Problem Size,Clusters,Tour Length (km),Runtime (s)
100,5,39879.21892976811,10.373592138290405
100,10,31104.261121955096,0.019636869430541992
100,15,25859.963287684477,0.026009798049926758
100,20,24732.745401462005,0.023841381072998047
200,5,69304.80202601572,0.012644529342651367
200,10,51455.633246762416,0.015167236328125
200,15,43286.773690344206,0.020804166793823242
200,20,39845.31307443107,0.02458333969116211
500,5,169918.69684280516,0.020946025848388672
500,10,116907.80889016774,0.027354001998901367
500,15,98601.8028919602,0.030579566955566406
500,20,83534.71212568614,0.03714561462402344
