Num_cities,Distance,Runtime,MIPGap,Status
10,6177.496777117147,7.719056,,Optimal
20,7962.079019334177,74.406501,,Optimal
30,10320.292229499579,606.540892,,maxTimeLimit
40,11237.465861154073,604.134292,,maxTimeLimit
50,12094.074645022998,606.804425,,maxTimeLimit
70,13498.506935064823,603.669605,,maxTimeLimit
100,15359.12632039357,606.150285,,maxTimeLimit
200,21118.508061926426,607.220012,,maxTimeLimit
500,155760.00192750277,1301.905937,,maxTimeLimit
750,233303.5539106023,1421.302316,,maxTimeLimit
