Num_cities,Gurobi_Distance,Gurobi_Runtime,Gurobi_MipGap,Gurobi_Status,CBC_Distance,CBC_Runtime,CBC_MipGap,CBC_Status,
10(10min),6177.496777,1.112483,0,Optimal,6177.496777,20.859224,0,Optimal,
20(10min),7962.079019,39.175006,0,Optimal,7962.079019,600.15408,,maxTimeLimit,
30(10min),10320.29223,601.338432,,maxTimeLimit,11395.39553,598.729461,,maxTimeLimit,
40(10min),11237.46586,602.420976,,maxTimeLimit,12381.03035,594.700142,,maxTimeLimit,
50(10min),12094.07465,603.465666,,maxTimeLimit,14576.90003,594.57181,,maxTimeLimit,
70(10min),13498.50694,601.31466,3.5,maxTimeLimit,17035.33765,600.973647,,maxTimeLimit,
100(10min),15655.23204,601.149643,6.07,maxTimeLimit,19936.6933,601.515423,,maxTimeLimit,
200(10min),22282.29118,603.269681,11.01,maxTimeLimit,16535.97713,606.279462,,intermediateNonInteger,
500(20min),55004.38907,1266.588248,48.7,maxTimeLimit,"didn""t provide any solution",,,,
750(20min),224696.614,1273.714599,84.2,maxTimeLimit,"didn""t provide any solution",,,,
1000(20min),229537.6679,1385.326561,82.593,maxTimeLimit,"didn""t provide any solution",,,,
